,nfe,best_score,elapsed_time,pi_0,pi_1,pi_2,pi_3,pi_4,probability_SBX,probability_PCX,probability_DE,probability_UNDX,probability_SPX,probability_UM,number_of_units,number_of_nodes,config,seed,scaled score,improvement,elapsed time (min)
1,245,0.548,0.3862578868865967,31.0,15.0,7.0,24.0,15.0,0.219047619047619,0.1333333333333333,0.1047619047619047,0.1047619047619047,0.3428571428571428,0.0952380952380952,5,100,0,0,0.7405405405405406,0.014000000000000012,0.006437631448109945
5,839,0.576,0.9431381225585938,25.0,17.0,7.0,14.0,21.0,0.2952380952380952,0.219047619047619,0.0952380952380952,0.0952380952380952,0.2285714285714285,0.0666666666666666,5,100,0,0,0.7783783783783783,0.027999999999999914,0.015718968709309895
6,989,0.606,1.0802597999572754,13.0,26.0,7.0,0.0,23.0,0.3523809523809524,0.2285714285714285,0.1047619047619047,0.0380952380952381,0.2476190476190476,0.0285714285714285,5,100,0,0,0.8189189189189189,0.030000000000000027,0.018004329999287923
8,1289,0.64,1.330665111541748,25.0,26.0,7.0,17.0,20.0,0.4761904761904761,0.219047619047619,0.1047619047619047,0.0095238095238095,0.1714285714285714,0.019047619047619,5,100,0,0,0.8648648648648649,0.03400000000000003,0.022177751859029135
9,1440,0.662,1.4542369842529297,25.0,19.0,7.0,28.0,21.0,0.5754716981132075,0.2547169811320754,0.0566037735849056,0.0094339622641509,0.0943396226415094,0.0094339622641509,5,100,0,0,0.8945945945945947,0.02200000000000002,0.024237283070882163
11,1738,0.684,1.6998391151428225,25.0,26.0,7.0,25.0,24.0,0.6415094339622641,0.2547169811320754,0.0283018867924528,0.0094339622641509,0.0566037735849056,0.0094339622641509,5,100,0,0,0.9243243243243244,0.02200000000000002,0.02833065191904704
12,1887,0.686,1.8403468132019043,24.0,19.0,7.0,28.0,21.0,0.660377358490566,0.2830188679245283,0.0188679245283018,0.0094339622641509,0.0188679245283018,0.0094339622641509,5,100,0,0,0.9270270270270271,0.0020000000000000018,0.030672446886698405
13,2038,0.7,1.975397109985352,24.0,19.0,7.0,25.0,23.0,0.7169811320754716,0.2264150943396226,0.0283018867924528,0.0094339622641509,0.0094339622641509,0.0094339622641509,5,100,0,0,0.9459459459459459,0.013999999999999901,0.03292328516642253
15,2329,0.71,2.211294889450073,24.0,19.0,7.0,17.0,23.0,0.7641509433962265,0.1792452830188679,0.0283018867924528,0.0094339622641509,0.0094339622641509,0.0094339622641509,5,100,0,0,0.9594594594594594,0.010000000000000009,0.03685491482416788
21,3223,0.726,3.007194757461548,32.0,19.0,7.0,25.0,15.0,0.660377358490566,0.2735849056603773,0.0377358490566037,0.0094339622641509,0.0094339622641509,0.0094339622641509,5,100,0,0,0.981081081081081,0.016000000000000014,0.05011991262435913
23,3522,0.734,3.2551708221435547,32.0,19.0,7.0,26.0,15.0,0.6981132075471698,0.2452830188679245,0.0283018867924528,0.0094339622641509,0.0094339622641509,0.0094339622641509,5,100,0,0,0.9918918918918919,0.008000000000000007,0.05425284703572591
27,4116,0.736,3.7593164443969727,32.0,19.0,7.0,17.0,15.0,0.7641509433962265,0.1886792452830188,0.0188679245283018,0.0094339622641509,0.0094339622641509,0.0094339622641509,5,100,0,0,0.9945945945945945,0.0020000000000000018,0.06265527407328288
34,5155,0.738,4.612003564834595,32.0,11.0,7.0,17.0,15.0,0.8018867924528302,0.160377358490566,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0094339622641509,5,100,0,0,0.9972972972972973,0.0020000000000000018,0.07686672608057658
0,100,0.534,0.2601468563079834,31.0,15.0,7.0,13.0,15.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,5,100,0,0,0.7216216216216217,0.0,0.00433578093846639
1,244,0.578,0.3750703334808349,41.0,12.0,7.0,50.0,5.0,0.219047619047619,0.1428571428571428,0.0952380952380952,0.2,0.1809523809523809,0.1619047619047619,5,100,0,1,0.781081081081081,0.09999999999999998,0.006251172224680582
3,534,0.642,0.8342998027801514,28.0,13.0,11.0,42.0,15.0,0.2761904761904762,0.2666666666666666,0.0571428571428571,0.2095238095238095,0.1047619047619047,0.0857142857142857,5,100,0,1,0.8675675675675676,0.06400000000000006,0.013904996713002523
6,976,0.67,1.227597951889038,28.0,13.0,11.0,36.0,15.0,0.4,0.2952380952380952,0.0285714285714285,0.1523809523809524,0.0761904761904762,0.0476190476190476,5,100,0,1,0.9054054054054055,0.028000000000000025,0.0204599658648173
7,1126,0.736,1.3510150909423828,32.0,13.0,11.0,36.0,15.0,0.4716981132075472,0.2452830188679245,0.0471698113207547,0.1132075471698113,0.1037735849056603,0.0188679245283018,5,100,0,1,0.9945945945945945,0.06599999999999995,0.022516918182373048
15,2310,0.738,2.296248435974121,24.0,13.0,11.0,26.0,15.0,0.6415094339622641,0.1792452830188679,0.0566037735849056,0.0471698113207547,0.0377358490566037,0.0377358490566037,5,100,0,1,0.9972972972972973,0.0020000000000000018,0.03827080726623535
16,2460,0.74,2.4030511379241943,24.0,13.0,11.0,36.0,15.0,0.7452830188679245,0.1509433962264151,0.0377358490566037,0.0094339622641509,0.0188679245283018,0.0377358490566037,5,100,0,1,1.0,0.0020000000000000018,0.040050852298736575
0,100,0.478,0.220858097076416,23.0,2.0,21.0,56.0,8.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,5,100,0,1,0.6459459459459459,0.0,0.0036809682846069332
4,684,0.624,0.8887360095977783,15.0,27.0,7.0,23.0,15.0,0.5294117647058824,0.2254901960784313,0.0588235294117647,0.0098039215686274,0.0784313725490196,0.0980392156862745,5,100,0,2,0.8432432432432433,0.026000000000000023,0.014812266826629639
5,832,0.66,1.0334722995758057,16.0,27.0,7.0,23.0,15.0,0.5882352941176471,0.196078431372549,0.0294117647058823,0.0098039215686274,0.088235294117647,0.088235294117647,5,100,0,2,0.891891891891892,0.03600000000000003,0.017224538326263427
6,980,0.688,1.1373865604400637,24.0,11.0,7.0,24.0,15.0,0.5882352941176471,0.196078431372549,0.0294117647058823,0.0098039215686274,0.088235294117647,0.088235294117647,5,100,0,2,0.9297297297297297,0.027999999999999914,0.01895644267400106
8,1269,0.694,1.361872673034668,12.0,27.0,7.0,26.0,15.0,0.6886792452830188,0.1792452830188679,0.0094339622641509,0.0094339622641509,0.0377358490566037,0.0754716981132075,5,100,0,2,0.9378378378378378,0.006000000000000005,0.022697877883911134
9,1415,0.71,1.9027526378631592,24.0,27.0,7.0,11.0,15.0,0.7452830188679245,0.1415094339622641,0.0094339622641509,0.0094339622641509,0.0283018867924528,0.0660377358490566,5,100,0,2,0.9594594594594594,0.016000000000000014,0.031712543964385984
10,1562,0.738,2.010335683822632,32.0,11.0,7.0,26.0,15.0,0.7735849056603774,0.1226415094339622,0.0094339622641509,0.0094339622641509,0.0188679245283018,0.0660377358490566,5,100,0,2,0.9972972972972973,0.028000000000000025,0.033505594730377196
0,100,0.598,0.2146472930908203,48.0,26.0,7.0,10.0,4.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,5,100,0,2,0.8081081081081081,0.0,0.003577454884847005
