,nfe,best_score,elapsed_time,pi_0,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,probability_SBX,probability_PCX,probability_DE,probability_UNDX,probability_SPX,probability_UM,number_of_nodes,number_of_units,config,seed,improvement,elapsed time (min),scaled score
10,1602,0.028,33.65359163284302,24.0,,,,,,,,,,0.1428571428571428,0.4095238095238095,0.019047619047619,0.1619047619047619,0.1904761904761904,0.0761904761904762,957,1,0,0,0.0020000000000000018,0.560893193880717,1.0
0,100,0.026,2.4628612995147705,123.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,0,0,0.0,0.041047688325246176,0.9285714285714285
1,251,0.026,5.635522842407227,123.0,,,,,,,,,,0.2285714285714285,0.2571428571428571,0.1238095238095238,0.1428571428571428,0.1809523809523809,0.0666666666666666,957,1,0,1,0.005999999999999998,0.0939253807067871,0.9285714285714285
3,552,0.028,11.947804689407349,24.0,,,,,,,,,,0.2571428571428571,0.3619047619047619,0.019047619047619,0.1047619047619047,0.2,0.0571428571428571,957,1,0,1,0.0020000000000000018,0.19913007815678915,1.0
0,100,0.02,2.3426434993743896,26.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,0,1,0.0,0.03904405832290649,0.7142857142857143
1,250,0.026,5.709630966186523,123.0,,,,,,,,,,0.3428571428571428,0.0952380952380952,0.1142857142857142,0.1714285714285714,0.1523809523809524,0.1238095238095238,957,1,0,2,0.004,0.09516051610310873,0.9285714285714285
179,27045,0.028,566.4012835025787,24.0,,,,,,,,,,0.2735849056603773,0.0566037735849056,0.0094339622641509,0.0471698113207547,0.5849056603773585,0.0283018867924528,957,1,0,2,0.0020000000000000018,9.440021391709646,1.0
0,100,0.022,2.5921671390533447,25.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,0,2,0.0,0.04320278565088908,0.7857142857142857
60,9126,0.028,190.97299361228943,24.0,,,,,,,,,,0.1142857142857142,0.1238095238095238,0.0285714285714285,0.6476190476190476,0.0666666666666666,0.019047619047619,957,1,0,3,0.0020000000000000018,3.1828832268714904,1.0
0,100,0.026,2.42508864402771,123.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,0,3,0.0,0.0404181440671285,0.9285714285714285
