,nfe,best_score,elapsed_time,pi_0,pi_1,pi_2,pi_3,pi_4,probability_SBX,probability_PCX,probability_DE,probability_UNDX,probability_SPX,probability_UM,number_of_units,number_of_nodes,config,seed,scaled score,improvement,elapsed time (min)
2,391,0.584,3.125596284866333,15.0,27.0,7.0,34.0,24.0,0.1619047619047619,0.2476190476190476,0.1047619047619047,0.1523809523809524,0.219047619047619,0.1142857142857142,5,100,0,0,0.7891891891891891,0.03199999999999992,0.05209327141443888
3,541,0.618,4.048983812332153,32.0,26.0,11.0,17.0,23.0,0.2476190476190476,0.2952380952380952,0.0666666666666666,0.0857142857142857,0.2285714285714285,0.0761904761904762,5,100,0,0,0.8351351351351352,0.03400000000000003,0.06748306353886922
5,840,0.666,5.993869304656982,37.0,13.0,11.0,36.0,15.0,0.3523809523809524,0.2571428571428571,0.0857142857142857,0.0857142857142857,0.1714285714285714,0.0476190476190476,5,100,0,0,0.9,0.04800000000000004,0.09989782174428304
7,1136,0.678,7.97046160697937,31.0,27.0,7.0,26.0,15.0,0.4952380952380952,0.2571428571428571,0.0666666666666666,0.0761904761904762,0.0666666666666666,0.0380952380952381,5,100,0,0,0.9162162162162163,0.01200000000000001,0.1328410267829895
8,1287,0.716,8.937018632888794,40.0,13.0,11.0,36.0,15.0,0.5,0.2924528301886792,0.0660377358490566,0.0471698113207547,0.0566037735849056,0.0377358490566037,5,100,0,0,0.9675675675675676,0.03799999999999992,0.14895031054814656
16,2479,0.73,16.729187488555908,32.0,13.0,11.0,47.0,15.0,0.9056603773584906,0.0377358490566037,0.0188679245283018,0.0094339622641509,0.0094339622641509,0.0188679245283018,5,100,0,0,0.9864864864864865,0.014000000000000012,0.2788197914759318
19,2923,0.734,20.074894666671756,32.0,13.0,11.0,27.0,15.0,0.9433962264150944,0.0188679245283018,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0094339622641509,5,100,0,0,0.9918918918918919,0.0040000000000000036,0.3345815777778626
21,3217,0.736,21.99353098869324,32.0,13.0,11.0,36.0,15.0,0.9245283018867924,0.0283018867924528,0.0188679245283018,0.0094339622641509,0.0094339622641509,0.0094339622641509,5,100,0,0,0.9945945945945945,0.0020000000000000018,0.366558849811554
25,3808,0.74,25.76633930206299,24.0,13.0,11.0,36.0,15.0,0.9245283018867924,0.0283018867924528,0.0188679245283018,0.0094339622641509,0.0094339622641509,0.0094339622641509,5,100,0,0,1.0,0.0040000000000000036,0.4294389883677165
0,100,0.552,0.9618501663208008,23.0,22.0,2.0,18.0,15.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,5,100,0,0,0.745945945945946,0.0,0.01603083610534668
2,394,0.654,3.002520799636841,24.0,37.0,7.0,36.0,15.0,0.2019230769230769,0.1634615384615384,0.1634615384615384,0.1538461538461538,0.2115384615384615,0.1057692307692307,5,100,0,1,0.8837837837837839,0.10199999999999998,0.05004201332728068
