,nfe,best_score,elapsed_time,pi_0,pi_1,pi_2,pi_3,pi_4,probability_SBX,probability_PCX,probability_DE,probability_UNDX,probability_SPX,probability_UM,number_of_nodes,number_of_units,config,seed,improvement,elapsed time (min),scaled score
1,242,0.82,2.4397051334381104,28.0,26.0,12.0,1.0,15.0,0.3142857142857143,0.1142857142857142,0.1428571428571428,0.2095238095238095,0.1047619047619047,0.1142857142857142,140,5,0,0,0.0119999999999999,0.040661752223968506,0.82
2,390,0.852,3.674272537231445,27.0,46.0,2.0,33.0,16.0,0.3619047619047619,0.1619047619047619,0.1523809523809524,0.1904761904761904,0.0476190476190476,0.0857142857142857,140,5,0,0,0.03200000000000003,0.06123787562052408,0.852
3,536,0.942,4.903454303741455,27.0,46.0,2.0,21.0,17.0,0.4095238095238095,0.238095238095238,0.1047619047619047,0.1047619047619047,0.0476190476190476,0.0952380952380952,140,5,0,0,0.08999999999999997,0.08172423839569092,0.942
6,978,0.986,8.852269649505615,13.0,46.0,2.0,1.0,20.0,0.6886792452830188,0.0754716981132075,0.0754716981132075,0.0566037735849056,0.0283018867924528,0.0754716981132075,140,5,0,0,0.04400000000000004,0.14753782749176025,0.986
11,1721,0.99,15.301867961883543,27.0,13.0,2.0,1.0,20.0,0.8867924528301887,0.0471698113207547,0.0188679245283018,0.0094339622641509,0.0188679245283018,0.0188679245283018,140,5,0,0,0.0040000000000000036,0.25503113269805905,0.99
12,1872,0.994,16.534177780151367,22.0,47.0,2.0,3.0,20.0,0.8867924528301887,0.0471698113207547,0.0283018867924528,0.0094339622641509,0.0188679245283018,0.0094339622641509,140,5,0,0,0.0040000000000000036,0.27556962966918946,0.994
18,2767,0.996,24.403702974319454,27.0,14.0,2.0,3.0,20.0,0.9433962264150944,0.0188679245283018,0.0094339622641509,0.0094339622641509,0.0094339622641509,0.0094339622641509,140,5,0,0,0.0020000000000000018,0.40672838290532426,0.996
21,3213,1.0,28.27808928489685,22.0,13.0,2.0,3.0,20.0,0.9433962264150944,0.0094339622641509,0.0188679245283018,0.0094339622641509,0.0094339622641509,0.0094339622641509,140,5,0,0,0.0040000000000000036,0.47130148808161415,1.0
0,100,0.808,1.1967949867248535,27.0,26.0,16.0,1.0,15.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,140,5,0,0,0.0,0.019946583112080894,0.808
1,248,0.862,2.4807534217834477,26.0,0.0,2.0,41.0,19.0,0.3428571428571428,0.1714285714285714,0.1047619047619047,0.1238095238095238,0.1428571428571428,0.1142857142857142,140,5,0,1,0.0020000000000000018,0.04134589036305746,0.862
3,547,0.914,5.177847623825073,29.0,27.0,2.0,38.0,20.0,0.5333333333333333,0.2095238095238095,0.1142857142857142,0.0476190476190476,0.0380952380952381,0.0571428571428571,140,5,0,1,0.052000000000000046,0.08629746039708455,0.914
4,696,0.928,6.438440799713135,21.0,30.0,2.0,4.0,13.0,0.6,0.1619047619047619,0.0952380952380952,0.0380952380952381,0.0476190476190476,0.0571428571428571,140,5,0,1,0.014000000000000012,0.10730734666188559,0.928
5,845,0.984,7.767616510391235,17.0,50.0,2.0,13.0,38.0,0.5619047619047619,0.238095238095238,0.0857142857142857,0.0380952380952381,0.019047619047619,0.0571428571428571,140,5,0,1,0.05599999999999994,0.12946027517318726,0.984
12,1889,0.994,17.02990746498108,6.0,38.0,2.0,13.0,20.0,0.7452830188679245,0.1792452830188679,0.0188679245283018,0.0094339622641509,0.0094339622641509,0.0377358490566037,140,5,0,1,0.010000000000000009,0.283831791083018,0.994
0,100,0.86,1.0664193630218506,26.0,1.0,2.0,47.0,22.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,140,5,0,1,0.0,0.017773656050364177,0.86
1,241,0.906,2.763162612915039,39.0,64.0,2.0,18.0,26.0,0.2285714285714285,0.219047619047619,0.1047619047619047,0.2476190476190476,0.0952380952380952,0.1047619047619047,140,5,0,2,0.08600000000000008,0.046052710215250654,0.906
