,nfe,best_score,elapsed_time,pi_0,pi_1,pi_2,pi_3,pi_4,probability_SBX,probability_PCX,probability_DE,probability_UNDX,probability_SPX,probability_UM,number_of_nodes,number_of_units,config,seed,improvement,elapsed time (min),scaled score
1,241,0.804,0.4982876777648926,13.0,3.0,32.0,2.0,15.0,0.1619047619047619,0.1619047619047619,0.1523809523809524,0.238095238095238,0.1238095238095238,0.1619047619047619,140,5,0,0,0.04400000000000004,0.008304794629414877,0.8072289156626506
2,387,0.878,0.6594297885894775,2.0,47.0,2.0,42.0,13.0,0.2666666666666666,0.2285714285714285,0.1428571428571428,0.1714285714285714,0.0380952380952381,0.1523809523809524,140,5,0,0,0.07399999999999995,0.010990496476491292,0.8815261044176707
3,533,0.984,0.8268814086914062,17.0,15.0,2.0,13.0,34.0,0.3428571428571428,0.2666666666666666,0.1428571428571428,0.1238095238095238,0.019047619047619,0.1047619047619047,140,5,0,0,0.10599999999999998,0.013781356811523437,0.9879518072289156
18,2750,0.996,2.840034008026123,17.0,17.0,2.0,13.0,6.0,0.6981132075471698,0.1037735849056603,0.1509433962264151,0.0094339622641509,0.0094339622641509,0.0283018867924528,140,5,0,0,0.01200000000000001,0.047333900133768717,1.0
0,100,0.76,0.3580789566040039,2.0,47.0,4.0,17.0,13.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,140,5,0,0,0.0,0.005967982610066732,0.7630522088353414
1,244,0.802,0.3864088058471679,25.0,0.0,2.0,67.0,62.0,0.238095238095238,0.2571428571428571,0.1428571428571428,0.1809523809523809,0.0571428571428571,0.1238095238095238,140,5,0,1,0.03200000000000003,0.0064401467641194655,0.8052208835341366
2,389,0.832,0.5345847606658936,26.0,1.0,2.0,66.0,58.0,0.2952380952380952,0.238095238095238,0.1333333333333333,0.2,0.019047619047619,0.1142857142857142,140,5,0,1,0.029999999999999916,0.008909746011098226,0.8353413654618473
3,532,0.896,0.6543114185333252,77.0,20.0,2.0,0.0,20.0,0.3238095238095238,0.2666666666666666,0.1047619047619047,0.1523809523809524,0.0380952380952381,0.1142857142857142,140,5,0,1,0.06400000000000006,0.010905190308888753,0.8995983935742972
4,677,0.904,0.7726171016693115,20.0,12.0,2.0,75.0,3.0,0.4,0.2952380952380952,0.0761904761904762,0.1047619047619047,0.0285714285714285,0.0952380952380952,140,5,0,1,0.008000000000000007,0.012876951694488525,0.9076305220883535
5,825,0.924,0.8906757831573486,51.0,52.0,2.0,13.0,53.0,0.4761904761904761,0.2952380952380952,0.0666666666666666,0.0952380952380952,0.0285714285714285,0.0380952380952381,140,5,0,1,0.020000000000000018,0.01484459638595581,0.9277108433734941
