,nfe,best_score,elapsed_time,pi_0,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,probability_SBX,probability_PCX,probability_DE,probability_UNDX,probability_SPX,probability_UM,number_of_nodes,number_of_units,config,seed,improvement,elapsed time (min),scaled score
0,100,0.05,0.251673936843872,24.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,0,0,0.0,0.0041945656140645335,1.0
2,401,0.026,0.4908652305603027,123.0,,,,,,,,,,0.2307692307692307,0.1538461538461538,0.0673076923076923,0.3365384615384615,0.125,0.0865384615384615,957,1,0,1,0.004,0.008181087176005044,0.5199999999999999
4,702,0.05,0.7766335010528564,24.0,,,,,,,,,,0.1538461538461538,0.173076923076923,0.0576923076923076,0.4326923076923077,0.0865384615384615,0.0961538461538461,957,1,0,1,0.024000000000000004,0.012943891684214275,1.0
0,100,0.022,0.2067232131958007,25.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,0,1,0.0,0.0034453868865966784,0.43999999999999995
3,551,0.05,0.6238703727722168,24.0,,,,,,,,,,0.1844660194174757,0.233009708737864,0.116504854368932,0.1650485436893204,0.1650485436893204,0.1359223300970873,957,1,0,2,0.024000000000000004,0.010397839546203613,1.0
0,100,0.026,0.1995227336883545,123.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,0,2,0.0,0.003325378894805908,0.5199999999999999
0,100,0.05,0.1962251663208007,24.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,0,3,0.0,0.0032704194386800117,1.0
1,251,0.026,0.3092343807220459,123.0,,,,,,,,,,0.1523809523809524,0.219047619047619,0.0857142857142857,0.2,0.2761904761904762,0.0666666666666666,957,1,0,4,0.004,0.0051539063453674315,0.5199999999999999
2,401,0.05,0.4310901165008545,24.0,,,,,,,,,,0.1523809523809524,0.2,0.0571428571428571,0.238095238095238,0.2952380952380952,0.0571428571428571,957,1,0,4,0.024000000000000004,0.007184835275014242,1.0
0,100,0.022,0.2003941535949707,25.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,957,1,0,4,0.0,0.0033399025599161786,0.43999999999999995
