,nfe,best_score,elapsed_time,pi_0,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6,pi_7,pi_8,pi_9,probability_SBX,probability_PCX,probability_DE,probability_UNDX,probability_SPX,probability_UM,number_of_units,number_of_nodes,config,seed,scaled score,improvement,elapsed time (min)
0,100,0.002,1.4939932823181152,11.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,0,0,1.0,0.0,0.024899888038635253
0,100,0.002,1.4315955638885498,11.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,0,1,1.0,0.0,0.023859926064809165
0,100,0.002,1.4311180114746094,10.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,0,2,1.0,0.0,0.023851966857910155
0,100,0.002,1.3818762302398682,9.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,0,3,1.0,0.0,0.0230312705039978
0,100,0.002,1.4309957027435305,12.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,0,4,1.0,0.0,0.023849928379058843
1,251,0.304,2.841391086578369,5.0,,,,,,,,,,0.219047619047619,0.1333333333333333,0.0952380952380952,0.2095238095238095,0.2857142857142857,0.0571428571428571,1,900,1,0,1.0,0.05399999999999999,0.047356518109639485
0,100,0.25,1.288971185684204,8.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,1,0,0.8223684210526316,0.0,0.021482853094736735
1,251,0.304,2.84097671508789,5.0,,,,,,,,,,0.1047619047619047,0.2285714285714285,0.0666666666666666,0.238095238095238,0.2666666666666666,0.0952380952380952,1,900,1,1,1.0,0.064,0.0473496119181315
0,100,0.24,1.2242910861968994,3.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,1,1,0.7894736842105263,0.0,0.02040485143661499
1,251,0.24,2.8730626106262207,10.0,,,,,,,,,,0.2095238095238095,0.1809523809523809,0.1047619047619047,0.1904761904761904,0.2285714285714285,0.0857142857142857,1,900,1,2,0.7894736842105263,0.0020000000000000018,0.047884376843770345
2,401,0.304,4.465229034423828,5.0,,,,,,,,,,0.2095238095238095,0.1523809523809524,0.1142857142857142,0.219047619047619,0.2571428571428571,0.0476190476190476,1,900,1,2,1.0,0.064,0.07442048390706381
0,100,0.238,1.2981371879577637,0.0,,,,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,1,900,1,2,0.7828947368421052,0.0,0.02163561979929606
1,251,0.304,2.704174518585205,5.0,,,,,,,,,,0.219047619047619,0.2476190476190476,0.1142857142857142,0.0952380952380952,0.2666666666666666,0.0571428571428571,1,900,1,3,1.0,0.05399999999999999,0.04506957530975342
